Season,Date,Location,Opponent,OpponentRank,Result,IlliniScore,OpponentScore,Note
1928,11/10/1928,@,Butler,NA,W,14,0,NA
1928,11/17/1928,@,Chicago,NA,W,40,0,NA
1928,11/24/1928,vs.,Ohio State,NA,W,8,0,NA
1927,10/1/1927,vs.,Bradley,NA,W,19,0,NA
1927,10/8/1927,vs.,Butler,NA,W,58,0,NA
1927,10/15/1927,vs.,Iowa State,NA,T,12,12,NA
1927,10/22/1927,@,Northwestern,NA,W,7,6,NA
1927,10/29/1927,vs.,Michigan,NA,W,14,0,Homecoming
1927,11/5/1927,@,Iowa,NA,W,14,0,NA
1927,11/12/1927,vs.,Chicago,NA,W,15,6,NA
1927,11/19/1927,@,Ohio State,NA,W,13,0,NA
1926,10/2/1926,vs.,Coe,NA,W,27,0,NA
1926,10/9/1926,vs.,Butler,NA,W,38,7,NA
1926,10/16/1926,vs.,Iowa,NA,W,13,6,Homecoming
1926,10/23/1926,@,Michigan,NA,L,0,13,NA
1926,10/30/1926,vs.,Pennsylvania,NA,W,3,0,NA
1926,11/6/1926,@,Chicago,NA,W,7,0,NA
1926,11/13/1926,vs.,Wabash,NA,W,27,13,NA
1926,11/20/1926,vs.,Ohio State,NA,L,6,7,NA
1925,10/3/1925,vs.,Nebraska,NA,L,0,14,NA
1925,10/10/1925,vs.,Butler,NA,W,16,13,NA
1925,10/17/1925,@,Iowa,NA,L,10,12,NA
1925,10/24/1925,vs.,Michigan,NA,L,0,3,Homecoming
1925,10/31/1925,@,Pennsylvania,NA,W,24,2,NA
1925,11/7/1925,vs.,Chicago,NA,W,13,6,NA
1925,11/14/1925,vs.,Wabash,NA,W,21,0,NA
1925,11/21/1925,@,Ohio State,NA,W,14,9,NA
1924,10/4/1924,@,Nebraska,NA,W,9,6,NA
1924,10/11/1924,vs.,Butler,NA,W,40,10,NA
1924,10/18/1924,vs.,Michigan,NA,W,39,14,Homecoming
1924,10/25/1924,vs.,DePauw,NA,W,45,0,NA
1924,11/1/1924,vs.,Iowa,NA,W,36,0,NA
1924,11/8/1924,@,Chicago,NA,T,21,21,NA
1924,11/15/1924,@,Minnesota,NA,L,7,20,NA
1924,11/22/1924,vs.,Ohio State,NA,W,7,0,NA
1923,10/6/1923,vs.,Nebraska,NA,W,24,7,NA
1923,10/13/1923,vs.,Butler,NA,W,21,7,NA
1923,10/20/1923,@,Iowa,NA,W,9,6,NA
1923,10/27/1923,"Chicago, IL",Northwestern,NA,W,29,0,NA
1923,11/3/1923,vs.,Chicago,NA,W,7,0,Homecoming
1923,11/10/1923,vs.,Wisconsin,NA,W,10,0,NA
1923,11/17/1923,vs.,Mississippi State,NA,W,27,0,NA
1923,11/24/1923,@,Ohio State,NA,W,9,0,NA
1922,10/14/1922,vs.,Butler,NA,L,7,10,NA
1922,10/21/1922,vs.,Iowa,NA,L,7,8,Homecoming
1922,10/28/1922,@,Michigan,NA,L,0,24,NA
1922,11/4/1922,vs.,Northwestern,NA,W,6,3,NA
1922,11/11/1922,@,Wisconsin,NA,W,3,0,NA
1922,11/18/1922,@,Chicago,NA,L,0,9,NA
1922,11/25/1922,vs.,Ohio State,NA,L,3,6,NA
1921,10/8/1921,vs.,South Dakota,NA,W,52,0,NA
1921,10/15/1921,@,Iowa,NA,L,2,14,NA
1921,10/22/1921,vs.,Wisconsin,NA,L,0,20,NA
1921,10/29/1921,vs.,Michigan,NA,L,0,3,NA
1921,11/5/1921,vs.,DePauw,NA,W,21,0,NA
1921,11/12/1921,vs.,Chicago,NA,L,6,14,Homecoming
1921,11/19/1921,@,Ohio State,NA,W,7,0,NA
1920,10/9/1920,vs.,Drake,NA,W,41,0,NA
1920,10/16/1920,vs.,Iowa,NA,W,20,3,NA
1920,10/23/1920,@,Michigan,NA,W,7,6,NA
1920,10/30/1920,vs.,Minnesota,NA,W,17,7,Homecoming
1920,11/6/1920,@,Chicago,NA,W,3,0,NA
1920,11/13/1920,@,Wisconsin,NA,L,9,14,NA
1920,11/20/1920,vs.,Ohio State,NA,L,0,7,NA
1919,10/11/1919,@,Purdue,NA,W,14,7,NA
1919,10/18/1919,vs.,Iowa,NA,W,9,7,NA
1919,10/25/1919,vs.,Wisconsin,NA,L,10,14,NA
1919,11/1/1919,vs.,Chicago,NA,W,10,0,Homecoming
1919,11/8/1919,@,Minnesota,NA,W,10,6,NA
1919,11/15/1919,vs.,Michigan,NA,W,29,7,NA
1919,11/22/1919,@,Ohio State,NA,W,9,7,NA
1918,10/4/1918,@,Chanute Field,NA,W,3,0,NA
1918,10/12/1918,vs.,Great Lakes Navy,NA,L,0,7,NA
1918,10/26/1918,vs.,Chicago Naval Reserve,NA,L,0,7,NA
1918,11/2/1918,@,Iowa,NA,W,19,0,NA
1918,11/9/1918,@,Wisconsin,NA,W,22,0,NA
1918,11/16/1918,vs.,Ohio State,NA,W,13,0,NA
1918,11/23/1918,@,Chicago,NA,W,29,0,NA
1917,10/6/1917,vs.,Kansas,NA,W,22,0,NA
1917,10/13/1917,vs.,Oklahoma,NA,W,44,0,NA
1917,10/20/1917,vs.,Wisconsin,NA,W,7,0,Homecoming
1917,10/27/1917,vs.,Purdue,NA,W,27,0,NA
1917,11/3/1917,@,Chicago,NA,T,0,0,NA
1917,11/17/1917,@,Ohio State,NA,L,0,13,NA
1917,11/24/1917,vs.,Minnesota,NA,L,6,27,NA
1917,11/29/1917,@,Camp Funston,NA,W,28,0,NA
1916,10/7/1916,vs.,Kansas,NA,W,30,0,NA
1916,10/14/1916,vs.,Colgate,NA,L,3,15,NA
1916,10/21/1916,vs.,Ohio State,NA,L,6,7,NA
1916,10/28/1916,@,Purdue,NA,W,14,7,NA
1916,11/11/1916,@,Minnesota,NA,W,14,9,NA
1916,11/18/1916,vs.,Chicago,NA,L,7,20,Homecoming
1916,11/25/1916,@,Wisconsin,NA,T,0,0,NA
1915,10/2/1915,vs.,Haskell,NA,W,36,0,NA
1915,10/9/1915,vs.,Missouri-Rolla,NA,W,75,7,NA
1915,10/16/1915,@,Ohio State,NA,T,3,3,NA
1915,10/23/1915,vs.,Northwestern,NA,W,36,6,NA
1915,11/6/1915,vs.,Minnesota,NA,T,6,6,Homecoming
1915,11/13/1915,vs.,Wisconsin,NA,W,17,3,NA
1915,11/20/1915,@,Chicago,NA,W,10,0,NA
1914,10/3/1914,vs.,Christian Brothers,NA,W,37,0,NA
1914,10/10/1914,vs.,Indiana,NA,W,51,0,NA
1914,10/17/1914,vs.,Ohio State,NA,W,37,0,NA
1914,10/24/1914,@,Northwestern,NA,W,33,0,NA
1914,10/31/1914,@,Minnesota,NA,W,21,6,NA
1914,11/14/1914,vs.,Chicago,NA,W,21,7,Homecoming
1914,11/21/1914,@,Wisconsin,NA,W,24,9,NA
1913,10/4/1913,vs.,Kentucky,NA,W,21,0,NA
1913,10/11/1913,vs.,Missouri,NA,W,24,7,NA
1913,10/18/1913,vs.,Northwestern,NA,W,37,0,NA
1913,10/25/1913,@,Indiana,NA,W,10,0,NA
1913,11/1/1913,@,Chicago,NA,L,7,28,NA
1913,11/15/1913,vs.,Purdue,NA,T,0,0,Homecoming
1913,11/22/1913,vs.,Minnesota,NA,L,9,19,NA
1912,10/5/1912,vs.,Illinois Wesleyan,NA,W,87,3,NA
1912,10/12/1912,vs.,Washington,NA,W,13,0,NA
1912,10/19/1912,vs.,Indiana,NA,W,13,7,NA
1912,11/2/1912,@,Minnesota,NA,L,0,13,NA
1912,11/9/1912,@,Purdue,NA,T,9,9,NA
1912,11/16/1912,vs.,Chicago,NA,L,0,10,Homecoming
1912,11/23/1912,@,Northwestern,NA,L,0,6,NA
1911,10/7/1911,vs.,James Millikin,NA,W,33,0,NA
1911,10/14/1911,vs.,St. Louis,NA,W,9,0,NA
1911,10/21/1911,@,Chicago,NA,L,0,24,NA
1911,11/4/1911,vs.,Purdue,NA,W,12,3,NA
1911,11/11/1911,@,Indiana,NA,T,0,0,NA
1911,11/18/1911,vs.,Northwestern,NA,W,27,13,NA
1911,11/25/1911,vs.,Minnesota,NA,L,0,11,Homecoming
1910,10/1/1910,vs.,James Millikin,NA,W,13,0,NA
1910,10/8/1910,vs.,Drake,NA,W,29,0,NA
1910,10/15/1910,vs.,Chicago,NA,W,3,0,Homecoming
1910,10/29/1910,@,Purdue,NA,W,11,0,NA
1910,11/5/1910,@,Indiana,NA,W,3,0,NA
1910,11/12/1910,@,Northwestern,NA,W,27,0,NA
1910,11/19/1910,vs.,Syracuse,NA,W,3,0,NA
1909,10/2/1909,vs.,James Millikin,NA,W,23,0,NA
1909,10/9/1909,vs.,Kentucky,NA,L,2,6,NA
1909,10/16/1909,@,Chicago,NA,L,8,14,NA
1909,10/30/1909,vs.,Purdue,NA,W,24,6,NA
1909,11/6/1909,vs.,Indiana,NA,W,6,5,NA
1909,11/13/1909,@,Northwestern,NA,W,35,0,NA
1909,11/20/1909,@,Syracuse,NA,W,17,8,NA
1908,10/3/1908,vs.,Monmouth,NA,W,17,6,NA
1908,10/10/1908,vs.,Marquette,NA,T,6,6,NA
1908,10/17/1908,@,Chicago,NA,L,6,11,NA
1908,10/31/1908,vs.,Indiana,NA,W,10,0,NA
1908,11/7/1908,vs.,Iowa,NA,W,22,0,NA
1908,11/14/1908,@,Purdue,NA,W,15,6,NA
1908,11/21/1908,vs.,Northwestern,NA,W,64,8,NA
1907,10/19/1907,vs.,Chicago,NA,L,6,42,NA
1907,10/26/1907,@,Wisconsin,NA,W,15,4,NA
1907,11/2/1907,vs.,Purdue,NA,W,21,4,NA
1907,11/9/1907,@,Iowa,NA,L,12,25,NA
1907,11/22/1907,@,Indiana,NA,W,10,6,NA
1906,10/13/1906,vs.,Wabash,NA,T,0,0,NA
1906,10/27/1906,@,Michigan,NA,L,9,28,NA
1906,11/10/1906,vs.,Wisconsin,NA,L,6,16,NA
1906,11/17/1906,@,Chicago,NA,L,0,63,NA
1906,11/25/1906,@,Purdue,NA,W,5,0,NA
1905,9/30/1905,vs.,Knox,NA,W,6,0,NA
1905,10/4/1905,vs.,Wabash,NA,W,6,0,NA
1905,10/7/1905,vs.,North Central,NA,W,24,0,NA
1905,10/14/1905,vs.,St. Louis,NA,W,12,6,NA
1905,10/21/1905,vs.,Purdue,NA,L,0,29,NA
1905,10/28/1905,vs.,Physicians & Surgeons,NA,W,30,0,NA
1905,11/4/1905,vs.,Michigan,NA,L,0,33,NA
1905,11/18/1905,@,Chicago,NA,L,0,44,NA
1905,11/30/1905,@,Nebraska,NA,L,6,24,NA
1904,9/24/1904,vs.,North Central,NA,W,10,0,NA
1904,9/28/1904,vs.,Wabash,NA,W,23,2,NA
1904,10/1/1904,vs.,Knox,NA,W,11,0,NA
1904,10/5/1904,vs.,Physicians & Surgeons,NA,W,26,0,NA
1904,10/8/1904,@,Washington,NA,W,31,0,NA
1904,10/15/1904,vs.,Indiana,NA,W,10,0,NA
1904,10/22/1904,@,Purdue,NA,W,24,6,NA
1904,10/29/1904,@,Chicago,NA,T,6,6,NA
1904,11/5/1904,@,Ohio State,NA,W,46,0,NA
1904,11/12/1904,@,Northwestern,NA,L,6,12,NA
1904,11/19/1904,vs.,Iowa,NA,W,29,0,NA
1904,11/24/1904,@,Nebraska,NA,L,10,16,NA
1903,9/19/1903,vs.,Englewood High,NA,W,45,5,NA
1903,9/26/1903,vs.,Lombard,NA,W,43,0,NA
1903,9/30/1903,vs.,American Osteopath,NA,W,36,0,NA
1903,10/3/1903,vs.,Knox,NA,W,29,5,NA
1903,10/7/1903,vs.,Physicians & Surgeons,NA,W,40,0,NA
1903,10/10/1903,vs.,Rush Medical,NA,W,64,0,NA
1903,10/14/1903,vs.,Chicago Dental,NA,W,54,0,NA
1903,10/17/1903,@,Purdue,NA,W,24,0,NA
1903,10/24/1903,@,Chicago,NA,L,6,18,NA
1903,10/31/1903,vs.,Northwestern,NA,L,11,12,NA
1903,11/6/1903,@,Indiana,NA,L,0,17,NA
1903,11/14/1903,vs.,Minnesota,NA,L,0,32,NA
1903,11/21/1903,@,Iowa,NA,L,0,12,NA
1903,11/26/1903,@,Nebraska,NA,L,0,16,NA
1902,9/20/1902,vs.,North Division High,NA,W,34,6,NA
1902,9/27/1902,vs.,Englewood High,NA,W,45,0,NA
1902,10/1/1902,vs.,American Osteopath,NA,W,22,0,NA
1902,10/4/1902,vs.,Monmouth,NA,W,33,0,NA
1902,10/8/1902,vs.,Haskell,NA,W,24,10,NA
1902,10/11/1902,vs.,Washington,NA,W,44,0,NA
1902,10/18/1902,vs.,Purdue,NA,W,29,5,NA
1902,10/25/1902,@,Chicago,NA,L,0,6,NA
1902,11/1/1902,vs.,Indiana,NA,W,47,0,NA
1902,11/8/1902,@,Minnesota,NA,L,5,17,NA
1902,11/15/1902,@,Ohio State,NA,T,0,0,NA
1902,11/22/1902,@,Northwestern,NA,W,17,0,NA
1902,11/27/1902,vs.,Iowa,NA,W,80,0,NA
1901,9/28/1901,vs.,Englewood High,NA,W,39,0,NA
1901,10/5/1901,vs.,Marion Sims,NA,W,52,0,NA
1901,10/11/1901,vs.,Physicians & Surgeons,NA,W,23,0,NA
1901,10/12/1901,vs.,Washington,NA,W,21,0,NA
1901,10/19/1901,@,Chicago,NA,W,24,0,NA
1901,10/26/1901,vs.,Northwestern,NA,L,11,17,NA
1901,11/2/1901,"Indianapolis, IN",Indiana,NA,W,18,0,NA
1901,11/9/1901,@,Iowa,NA,W,27,0,NA
1901,11/16/1901,@,Purdue,NA,W,28,6,NA
1901,11/28/1901,vs.,Minnesota,NA,L,0,16,NA
1900,9/29/1900,vs.,Rose-Hulman,NA,W,26,0,NA
1900,10/3/1900,vs.,DePauw,NA,W,63,0,NA
1900,10/6/1900,vs.,Illinois Wesleyan,NA,W,21,0,NA
1900,10/10/1900,vs.,Physicians & Surgeons,NA,W,6,0,NA
1900,10/13/1900,vs.,Knox,NA,W,16,0,NA
1900,10/16/1900,vs.,Lombard,NA,W,35,0,NA
1900,10/20/1900,@,Northwestern,NA,T,0,0,NA
1900,10/27/1900,"Chicago, IL",Michigan,NA,L,0,12,NA
1900,11/3/1900,vs.,Purdue,NA,W,17,5,NA
1900,11/10/1900,@,Minnesota,NA,L,0,23,NA
1900,11/17/1900,"Indianapolis, IN",Indiana,NA,T,0,0,NA
1900,11/24/1900,@,Wisconsin,NA,L,0,27,NA
1899,1899-09-30,vs.,Illinois Wesleyan,NA,W,6,0,NA
1899,1899-10-07,@,Knox,NA,W,5,0,NA
1899,1899-10-14,vs.,Indiana,NA,L,0,5,NA
1899,1899-10-28,vs.,Michigan,NA,L,0,5,NA
1899,1899-11-06,vs.,Illinois Alumni,NA,T,0,0,NA
1899,1899-11-11,"Milwaukee, WI",Wisconsin,NA,L,0,23,NA
1899,1899-11-22,vs.,Purdue,NA,L,0,5,NA
1899,1899-11-25,@,St. Louis,NA,W,29,0,NA
1899,1899-11-30,"Rock Island, IL",Iowa,NA,L,0,58,NA
1898,1898-09-28,vs.,Illinois Wesleyan,NA,W,18,0,NA
1898,1898-10-01,vs.,Physicians & Surgeons,NA,L,6,11,NA
1898,1898-10-08,vs.,Notre Dame,NA,L,0,5,NA
1898,1898-10-15,vs.,DePauw,NA,W,16,0,NA
1898,1898-10-22,vs.,Illinois Alumni,NA,W,10,6,NA
1898,1898-11-04,vs.,Illinois Alumni,NA,L,17,23,NA
1898,1898-11-12,"Detroit, MI",Michigan,NA,L,5,12,NA
1898,1898-11-19,"Chicago, IL",Carlisle,NA,L,0,11,NA
1898,1898-11-24,vs.,Minnesota,NA,W,11,10,NA
1897,1897-10-02,vs.,Eureka,NA,W,26,0,NA
1897,1897-10-09,vs.,Physicians & Surgeons,NA,W,6,0,NA
1897,1897-10-16,vs.,Lake Forest,NA,W,36,0,NA
1897,1897-10-23,vs.,Purdue,NA,W,34,4,NA
1897,1897-10-30,vs.,Chicago,NA,L,12,18,NA
1897,1897-11-12,vs.,Knox,NA,W,64,0,NA
1897,1897-11-20,"Chicago, IL",Carlisle,NA,L,6,23,NA
1897,1897-11-25,"Peoria, IL",Eureka,NA,W,6,0,NA
1896,1896-10-03,vs.,Lake Forest,NA,W,38,0,NA
1896,1896-10-10,vs.,Knox,NA,W,70,4,NA
1896,1896-10-17,"St. Louis, MO",Missouri,NA,W,10,0,NA
1896,1896-10-21,vs.,Oberlin,NA,W,22,6,NA
1896,1896-10-31,@,Chicago,NA,L,0,12,NA
1896,1896-11-07,vs.,Northwestern,NA,L,4,10,NA
1896,1896-11-25,@,Purdue,NA,T,4,4,NA
1895,1895-10-05,vs.,Wabash,NA,W,48,0,NA
1895,1895-10-12,@,Chicago A.C.,NA,L,0,8,NA
1895,1895-10-19,vs.,Illinois College,NA,W,79,0,NA
1895,1895-10-26,@,Wisconsin,NA,T,10,10,NA
1895,1895-11-02,vs.,Lake Forest,NA,W,38,0,NA
1895,1895-11-23,vs.,Northwestern,NA,W,38,4,NA
1895,1895-11-28,@,Purdue,NA,L,2,6,NA
1894,1894-10-06,@,Wabash,NA,W,36,6,NA
1894,1894-10-13,@,Chicago A.C.,NA,L,0,14,NA
1894,1894-10-20,vs.,Lake Forest,NA,W,54,6,NA
1894,1894-11-03,vs.,Northwestern,NA,W,66,0,NA
1894,1894-11-17,vs.,Purdue,NA,L,2,22,NA
1894,1894-11-24,vs.,Indianapolis Artillery,NA,L,14,18,NA
1894,1894-11-29,"St. Louis, MO",Pastime A.C.,NA,W,10,0,NA
1893,1893-09-30,vs.,Wabash,NA,W,60,6,NA
1893,1893-10-07,@,DePauw,NA,W,14,4,NA
1893,1893-10-21,@,Northwestern,NA,T,0,0,NA
1893,1893-10-28,vs.,Chicago A.C.,NA,L,4,10,NA
1893,1893-11-06,vs.,Oberlin,NA,L,24,34,NA
1893,1893-11-11,"St. Louis, MO",Pastime A.C.,NA,W,18,16,NA
1893,1893-11-25,@,Purdue,NA,T,26,26,NA
1893,1893-11-30,vs.,Lake Forest,NA,T,10,10,NA
1892,1892-10-08,vs.,Purdue,NA,L,6,12,NA
1892,1892-10-12,vs.,Northwestern,NA,T,16,16,NA
1892,1892-10-21,@,Washington,NA,W,22,0,NA
1892,1892-10-22,"Omaha, NE",Doane,NA,W,20,0,NA
1892,1892-10-24,@,Nebraska,NA,L,0,6,NA
1892,1892-10-26,@,Baker,NA,W,26,10,NA
1892,1892-10-27,@,Kansas,NA,L,4,26,NA
1892,1892-10-29,@,Kansas City A.C.,NA,W,42,0,NA
1892,1892-11-05,vs.,Englewood High,NA,W,38,0,NA
1892,1892-11-16,@,Chicago,NA,L,4,10,NA
1892,1892-11-18,vs.,DePauw,NA,W,34,0,NA
1892,1892-11-24,vs.,Chicago,NA,W,28,12,NA
